baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EJCDLKNP_01672	26365.28011906	-2.26168589033071	0.059444767436471	-38.0468456327596	0	0
EJCDLKNP_02067	237338.701972672	-2.25882951147746	0.0601728155932652	-37.5390363440177	0	0
EJCDLKNP_03095	43.0277570961435	-2.23921452949807	0.356605388880016	-6.27925039644166	3.40209297659395e-10	6.13438613546712e-10
EJCDLKNP_01173	5846.09453544813	-2.2349238130108	0.0643549593311944	-34.7280743587928	2.97047833377304e-264	3.86290775526156e-263
EJCDLKNP_00339	660.368248428296	-2.22684293908964	0.133447828669309	-16.6869926719293	1.62976056706954e-62	6.45033036031212e-62
EJCDLKNP_02149	15627.2530284773	-2.22676513992129	0.0529320958299599	-42.0683350055624	0	0
EJCDLKNP_01497	66720.4950074062	-2.22302336221887	0.0608126838453141	-36.5552582397687	1.47113075473626e-292	2.13491632233223e-291
EJCDLKNP_01436	1502.87236733383	-2.21963257530989	0.119448598083032	-18.5823242041481	4.46731805588087e-77	2.0149885044844e-76
EJCDLKNP_02043	692.854800208633	-2.21929535056508	0.105229205315996	-21.0901084342574	9.8036630205381e-99	5.3255341254424e-98
EJCDLKNP_01992	13.7699163484996	-2.21879413267754	0.626336983825284	-3.54249260378415	0.000396364537812449	0.000576320944621779
EJCDLKNP_01303	3750.6199109981	-2.21334221584693	0.0742155498208505	-29.8231599872228	1.95709163744086e-195	1.85460671257803e-194
EJCDLKNP_00157	8634.09849982439	-2.21109060755004	0.0583915640563821	-37.8666104133644	0	0
EJCDLKNP_02016	1691.72388377319	-2.20545455196631	0.083882902791389	-26.2920628468368	2.36351495343362e-152	1.81122421431494e-151
EJCDLKNP_01646	2181.67391943356	-2.20319224911927	0.0853752917422037	-25.8059703710524	7.59934473198238e-147	5.55436291359491e-146
EJCDLKNP_01769	114.603664768348	-2.20137085558026	0.219062830860887	-10.0490386567597	9.27679630121485e-24	2.18740157683276e-23
EJCDLKNP_00128	68062.9336730562	-2.19535403904121	0.0596024885236964	-36.833261385863	5.42095550733885e-297	8.06165858616134e-296
EJCDLKNP_00334	52.7132275017202	-2.19394569099549	0.31758898549713	-6.90812903212387	4.9108721974803e-12	9.32506958358459e-12
EJCDLKNP_01702	5.96261671779887	-2.19233696670689	1.00342499780974	-2.18485384706608	0.0288995644279527	0.0373514688959026
EJCDLKNP_00114	1532.31126231622	-2.18225981186487	0.0904455201615943	-24.1278927686628	1.27432526548238e-128	8.43187906940326e-128
EJCDLKNP_01566	5.8551749027568	-2.17762025390859	0.96203005755577	-2.26356779271666	0.0236007106284885	0.0307479097229179
EJCDLKNP_02113	29331.930064377	-2.17753064109437	0.0618362945794616	-35.214442519614	1.2020480046123e-271	1.62655504768259e-270
EJCDLKNP_01285	613.346489894105	-2.17737815084758	0.107169502997812	-20.3171433098093	9.07032393191106e-92	4.68971653897777e-91
EJCDLKNP_01780	334.531388260955	-2.17589870456897	0.165741905253871	-13.1282351390621	2.26882663195907e-39	6.73473834229746e-39
EJCDLKNP_00116	2455.98769031962	-2.17515916396263	0.0824552604211383	-26.3798713733127	2.33237695740869e-153	1.79193360103727e-152
EJCDLKNP_00158	8862.79598061904	-2.16849117117973	0.0649243043486431	-33.4002989009316	1.35734251941618e-244	1.63753290294225e-243
EJCDLKNP_00352	304.168520087017	-2.1672264529714	0.153708282517578	-14.0996074998338	3.81887768952444e-45	1.23221359606138e-44
EJCDLKNP_01495	41695.2188396222	-2.15609662200862	0.0642429135870183	-33.56162573617	6.09273105678412e-247	7.38006616716915e-246
EJCDLKNP_01432	93.6193453994485	-2.14854997367667	0.247813487551711	-8.67002839475528	4.32012639183242e-18	9.28301836986022e-18
EJCDLKNP_00500	3328.49233648742	-2.13741281143177	0.0723111337313686	-29.5585575987804	5.09810168967946e-192	4.75611722850842e-191
